,solar,volcanic,CO2_RCP_4.5
2000,1365.886962890625,0.0043117026927268,370.65347
2001,1365.8765869140625,0.0043117026927268,372.97846
2002,1365.8531494140625,0.0043117026927268,375.51984
2003,1365.7960205078125,0.0589241913962922,377.78524
2004,1365.7303466796875,0.0391937209751331,380.14774
2005,1365.6710205078125,0.0169276781266242,382.9461
2006,1365.6295166015625,0.0470032779024505,385.85653
2007,1365.5897216796875,0.0302897217574185,388.83367
2008,1365.6004638671875,0.013688412064342,391.97977
2009,1365.6092529296875,0.0075049562769114,395.16358
2010,1365.6109619140625,0.0054488770778958,398.30729
2011,1365.60986328125,0.0049166201240386,401.50327
2012,1365.6141357421875,0.0044328454522699,404.74953
2013,1365.6195068359375,0.0342218748775564,408.0079
2014,1365.6287841796875,0.0235390645552116,411.30368
2015,1365.64794921875,0.0112026282460626,414.63408
2016,1365.671142578125,0.0066587442795246,417.99225
2017,1365.7000732421875,0.0051062566791425,421.37558
2018,1365.7298583984375,0.0045887465552282,424.82976
2019,1365.737060546875,0.0044058214408484,428.2685
2020,1365.747314453125,0.0043742338592328,431.5730400000001
2021,1365.765869140625,0.0172278796170927,434.85219000000006
2022,1365.7840576171875,0.0124748722057447,438.18135
2023,1365.7930908203125,0.241571911753305,441.54545
2024,1365.796142578125,0.154974062403143,444.94925
2025,1365.7891845703125,0.0587793336478218,448.3933
2026,1365.7576904296875,0.0228660677802108,451.87097
2027,1365.713623046875,0.0105931322942415,455.37214000000006
2028,1365.680419921875,0.0065146328769138,458.89223
2029,1365.643798828125,0.005109105598542,462.45837
2030,1365.6353759765625,0.0048028757843158,466.09933
2031,1365.632080078125,0.0053771168394679,469.72715
2032,1365.646728515625,0.0043117026927268,473.29171
2033,1365.6513671875,0.0043117026927268,476.84006
2034,1365.651611328125,0.0043117026927268,480.38306
2035,1365.643798828125,0.0043117026927268,483.92388
2036,1365.6383056640625,0.0043117026927268,487.46212
2037,1365.6334228515625,0.0043117026927268,490.98924000000005
2038,1365.6219482421875,0.0043117026927268,494.49313
2039,1365.6087646484375,0.0043117026927268,497.99769
2040,1365.60986328125,0.0043117026927268,501.5331900000001
2041,1365.6182861328125,0.0043117026927268,505.02452
2042,1365.641357421875,0.0043117026927268,508.4167
2043,1365.6484375,0.0043117026927268,511.74797
2044,1365.648681640625,0.0043117026927268,515.04827
2045,1365.6531982421875,0.0043117026927268,518.33668
2046,1365.6607666015625,0.0043117026927268,521.62264
2047,1365.66455078125,0.0365332522630775,524.9107
2048,1365.66943359375,0.0248922092376896,528.19569
2049,1365.68017578125,0.0117551700656963,531.37589
2050,1365.683837890625,0.0068469394093497,534.35342
2051,1365.6705322265625,0.0051699671781246,537.17795
2052,1365.6409912109375,0.0046109610340699,539.90801
2053,1365.6112060546875,0.0044133682564316,542.53828
2054,1365.582763671875,0.0043792478568819,545.07165
2055,1365.5653076171875,0.004458216365131,547.5360400000002
2056,1365.54931640625,0.0043117026927268,549.94887
2057,1365.540771484375,0.112112999065301,552.31846
2058,1365.5389404296875,0.0731664075450576,554.6494
2059,1365.53857421875,0.0292147704536711,556.91183
2060,1365.54345703125,0.0127936599017241,559.07021
2061,1365.548095703125,0.0071831357985249,561.12332
2062,1365.5625,0.005312909573751,563.07691
2063,1365.569580078125,0.0046518377796472,564.93397
2064,1365.5634765625,0.004537683638917,566.68202
2065,1365.556396484375,0.004801882837136,568.32208
2066,1365.5545654296875,0.0043117026927268,569.88122
2067,1365.5576171875,0.0043117026927268,571.37634
2068,1365.5562744140625,0.0043117026927268,572.8150400000002
2069,1365.552734375,0.0043117026927268,574.17631
2070,1365.5411376953125,0.0043117026927268,575.42763
2071,1365.5137939453125,0.0043117026927268,576.56163
2072,1365.4813232421875,0.0043117026927268,577.57863
2073,1365.4522705078125,0.0043117026927268,578.4796200000002
2074,1365.43701171875,0.0043117026927268,579.26681
2075,1365.433837890625,0.0043117026927268,579.92725
2076,1365.4462890625,0.0043117026927268,580.4613
2077,1365.4564208984375,0.0043117026927268,580.89726
2078,1365.46728515625,0.0043117026927268,581.25987
2079,1365.470947265625,0.0043117026927268,581.42655
2080,1365.4697265625,0.0443828831596066,581.26179
2081,1365.4713134765625,0.0299059153503904,581.0436900000002
2082,1365.4697265625,0.0135685053101915,580.9732
2083,1365.467041015625,0.0074645593787856,580.96505
2084,1365.470458984375,0.005379052697344,581.01015
2085,1365.4783935546875,0.0046838646514805,581.10176
2086,1365.50439453125,0.0044381354436281,581.21926
2087,1365.5230712890625,0.0043957028261349,581.35645
2088,1365.536376953125,0.0044939091938436,581.53478
2089,1365.541748046875,0.0043117026927268,581.76615
2090,1365.5477294921875,0.0043117026927268,582.0534200000002
2091,1365.557373046875,0.0043117026927268,582.3969099999998
2092,1365.56298828125,0.0043117026927268,582.78563
2093,1365.5740966796875,0.0043117026927268,583.20286
2094,1365.5888671875,0.0043117026927268,583.6387
2095,1365.6024169921875,0.0043117026927268,584.08959
2096,1365.6007080078125,0.0738945227313058,584.5538700000002
2097,1365.5789794921875,0.0487555516793898,585.01489
2098,1365.5574951171875,0.0203859591323661,585.46977
2099,1365.5364990234375,0.0043117026927268,585.90945
